occupancy_id,facility_id,facility_name,category,terminal,timestamp,occupancy_count,capacity,occupancy_ratio,crowd_level
OCC000075,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-21 02:00:00,17,40,0.41,medium
OCC000076,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-21 03:00:00,20,40,0.5,medium
OCC000077,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-21 04:00:00,19,40,0.49,medium
OCC000078,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-21 05:00:00,24,40,0.6,medium
OCC000079,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-21 06:00:00,29,40,0.72,medium
OCC000080,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-21 07:00:00,37,40,0.92,high
OCC000081,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-21 08:00:00,40,40,0.99,high
OCC000082,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-21 09:00:00,33,40,0.82,high
OCC000083,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-21 10:00:00,34,40,0.86,high
OCC000084,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-21 11:00:00,21,40,0.53,medium
OCC000085,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-21 12:00:00,20,40,0.51,medium
OCC000086,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-21 13:00:00,22,40,0.55,medium
OCC000087,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-21 14:00:00,20,40,0.51,medium
OCC000088,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-21 15:00:00,24,40,0.6,medium
OCC000089,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-21 16:00:00,32,40,0.8,high
OCC000090,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-21 17:00:00,40,40,0.99,high
OCC000091,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-21 18:00:00,33,40,0.82,high
OCC000092,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-21 19:00:00,35,40,0.87,high
OCC000093,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-21 20:00:00,27,40,0.68,medium
OCC000094,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-21 21:00:00,25,40,0.61,medium
OCC000095,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-21 22:00:00,17,40,0.43,medium
OCC000096,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-21 23:00:00,24,40,0.59,medium
OCC000097,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-22 00:00:00,18,40,0.44,medium
OCC000098,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-22 01:00:00,19,40,0.47,medium
OCC000099,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-22 02:00:00,20,40,0.49,medium
OCC000100,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-22 03:00:00,26,40,0.66,medium
OCC000101,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-22 04:00:00,21,40,0.53,medium
OCC000102,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-22 05:00:00,26,40,0.64,medium
OCC000103,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-22 06:00:00,27,40,0.69,medium
OCC000104,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-22 07:00:00,33,40,0.82,high
OCC000105,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-22 08:00:00,40,40,0.99,high
OCC000106,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-22 09:00:00,34,40,0.86,high
OCC000107,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-22 10:00:00,26,40,0.65,medium
OCC000108,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-22 11:00:00,27,40,0.68,medium
OCC000109,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-22 12:00:00,21,40,0.53,medium
OCC000110,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-22 13:00:00,20,40,0.51,medium
OCC000111,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-22 14:00:00,21,40,0.52,medium
OCC000112,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-22 15:00:00,26,40,0.64,medium
OCC000113,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-22 16:00:00,33,40,0.84,high
OCC000114,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-22 17:00:00,28,40,0.7,medium
OCC000115,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-22 18:00:00,33,40,0.82,high
OCC000116,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-22 19:00:00,33,40,0.82,high
OCC000117,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-22 20:00:00,34,40,0.85,high
OCC000118,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-22 21:00:00,29,40,0.72,medium
OCC000119,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-22 22:00:00,22,40,0.56,medium
OCC000120,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-22 23:00:00,18,40,0.46,medium
OCC000121,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-23 00:00:00,17,40,0.42,medium
OCC000122,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-23 01:00:00,18,40,0.46,medium
OCC000123,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-23 02:00:00,17,40,0.42,medium
OCC000124,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-23 03:00:00,22,40,0.56,medium
OCC000125,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-23 04:00:00,20,40,0.51,medium
OCC000126,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-23 05:00:00,29,40,0.72,medium
OCC000127,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-23 06:00:00,30,40,0.75,high
OCC000128,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-23 07:00:00,31,40,0.79,high
OCC000129,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-23 08:00:00,36,40,0.91,high
OCC000130,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-23 09:00:00,35,40,0.87,high
OCC000131,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-23 10:00:00,26,40,0.65,medium
OCC000132,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-23 11:00:00,26,40,0.65,medium
OCC000133,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-23 12:00:00,18,40,0.44,medium
OCC000134,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-23 13:00:00,22,40,0.54,medium
OCC000135,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-23 14:00:00,22,40,0.55,medium
OCC000136,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-23 15:00:00,27,40,0.67,medium
OCC000137,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-23 16:00:00,31,40,0.77,high
OCC000138,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-23 17:00:00,38,40,0.96,high
OCC000139,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-23 18:00:00,40,40,0.99,high
OCC000140,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-23 19:00:00,30,40,0.76,high
OCC000141,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-23 20:00:00,34,40,0.85,high
OCC000142,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-23 21:00:00,27,40,0.67,medium
OCC000143,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-23 22:00:00,22,40,0.56,medium
OCC000144,FAC0002,Check-in Counter 2,checkin_counter,T1,2026-06-23 23:00:00,17,40,0.44,medium
OCC000145,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-21 00:00:00,13,40,0.34,low
OCC000146,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-21 01:00:00,17,40,0.42,medium
OCC000147,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-21 02:00:00,16,40,0.41,medium
OCC000148,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-21 03:00:00,17,40,0.42,medium
OCC000149,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-21 04:00:00,17,40,0.43,medium
OCC000150,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-21 05:00:00,26,40,0.65,medium
OCC000151,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-21 06:00:00,26,40,0.65,medium
OCC000152,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-21 07:00:00,33,40,0.82,high
OCC000153,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-21 08:00:00,26,40,0.65,medium
OCC000154,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-21 09:00:00,27,40,0.69,medium
OCC000155,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-21 10:00:00,31,40,0.78,high
OCC000156,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-21 11:00:00,19,40,0.47,medium
OCC000157,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-21 12:00:00,22,40,0.56,medium
OCC000158,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-21 13:00:00,15,40,0.38,low
OCC000159,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-21 14:00:00,21,40,0.51,medium
OCC000160,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-21 15:00:00,25,40,0.62,medium
OCC000161,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-21 16:00:00,27,40,0.67,medium
OCC000162,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-21 17:00:00,33,40,0.84,high
OCC000163,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-21 18:00:00,32,40,0.79,high
OCC000164,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-21 19:00:00,33,40,0.84,high
OCC000165,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-21 20:00:00,31,40,0.79,high
OCC000166,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-21 21:00:00,27,40,0.67,medium
OCC000167,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-21 22:00:00,19,40,0.48,medium
OCC000168,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-21 23:00:00,17,40,0.42,medium
OCC000169,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-22 00:00:00,15,40,0.38,low
OCC000170,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-22 01:00:00,15,40,0.37,low
OCC000171,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-22 02:00:00,16,40,0.4,medium
OCC000172,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-22 03:00:00,17,40,0.41,medium
OCC000173,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-22 04:00:00,22,40,0.55,medium
OCC000174,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-22 05:00:00,23,40,0.56,medium
OCC000175,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-22 06:00:00,26,40,0.64,medium
OCC000176,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-22 07:00:00,26,40,0.64,medium
OCC000177,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-22 08:00:00,39,40,0.98,high
OCC000178,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-22 09:00:00,28,40,0.69,medium
OCC000179,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-22 10:00:00,29,40,0.74,medium
OCC000180,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-22 11:00:00,24,40,0.6,medium
OCC000181,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-22 12:00:00,20,40,0.49,medium
OCC000182,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-22 13:00:00,18,40,0.45,medium
OCC000183,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-22 14:00:00,20,40,0.51,medium
OCC000184,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-22 15:00:00,25,40,0.62,medium
OCC000185,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-22 16:00:00,29,40,0.73,medium
OCC000186,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-22 17:00:00,37,40,0.93,high
OCC000187,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-22 18:00:00,32,40,0.81,high
OCC000188,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-22 19:00:00,26,40,0.66,medium
OCC000189,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-22 20:00:00,30,40,0.74,medium
OCC000190,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-22 21:00:00,27,40,0.66,medium
OCC000191,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-22 22:00:00,17,40,0.43,medium
OCC000192,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-22 23:00:00,17,40,0.43,medium
OCC000193,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-23 00:00:00,16,40,0.4,medium
OCC000194,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-23 01:00:00,15,40,0.37,low
OCC000195,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-23 02:00:00,19,40,0.48,medium
OCC000196,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-23 03:00:00,15,40,0.38,low
OCC000197,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-23 04:00:00,18,40,0.45,medium
OCC000198,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-23 05:00:00,22,40,0.55,medium
OCC000199,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-23 06:00:00,27,40,0.69,medium
OCC000200,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-23 07:00:00,32,40,0.79,high
OCC000201,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-23 08:00:00,39,40,0.96,high
OCC000202,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-23 09:00:00,31,40,0.77,high
OCC000203,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-23 10:00:00,26,40,0.64,medium
OCC000204,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-23 11:00:00,25,40,0.63,medium
OCC000205,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-23 12:00:00,20,40,0.51,medium
OCC000206,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-23 13:00:00,22,40,0.55,medium
OCC000207,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-23 14:00:00,18,40,0.45,medium
OCC000208,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-23 15:00:00,28,40,0.69,medium
OCC000209,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-23 16:00:00,28,40,0.71,medium
OCC000210,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-23 17:00:00,29,40,0.74,medium
OCC000211,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-23 18:00:00,32,40,0.8,high
OCC000212,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-23 19:00:00,36,40,0.9,high
OCC000213,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-23 20:00:00,27,40,0.68,medium
OCC000214,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-23 21:00:00,22,40,0.56,medium
OCC000215,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-23 22:00:00,19,40,0.47,medium
OCC000216,FAC0003,Check-in Counter 3,checkin_counter,T1,2026-06-23 23:00:00,18,40,0.46,medium
OCC000217,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-21 00:00:00,20,40,0.51,medium
OCC000218,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-21 01:00:00,15,40,0.39,low
OCC000219,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-21 02:00:00,18,40,0.46,medium
OCC000220,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-21 03:00:00,18,40,0.45,medium
OCC000221,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-21 04:00:00,21,40,0.53,medium
OCC000222,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-21 05:00:00,30,40,0.75,medium
OCC000223,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-21 06:00:00,28,40,0.69,medium
OCC000224,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-21 07:00:00,36,40,0.89,high
OCC000225,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-21 08:00:00,33,40,0.82,high
OCC000226,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-21 09:00:00,37,40,0.93,high
OCC000227,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-21 10:00:00,33,40,0.83,high
OCC000228,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-21 11:00:00,21,40,0.53,medium
OCC000229,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-21 12:00:00,26,40,0.66,medium
OCC000230,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-21 13:00:00,21,40,0.53,medium
OCC000231,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-21 14:00:00,23,40,0.58,medium
OCC000232,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-21 15:00:00,26,40,0.64,medium
OCC000233,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-21 16:00:00,35,40,0.88,high
OCC000234,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-21 17:00:00,32,40,0.8,high
OCC000235,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-21 18:00:00,33,40,0.82,high
OCC000236,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-21 19:00:00,36,40,0.9,high
OCC000237,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-21 20:00:00,31,40,0.77,high
OCC000238,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-21 21:00:00,23,40,0.59,medium
OCC000239,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-21 22:00:00,20,40,0.49,medium
OCC000240,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-21 23:00:00,20,40,0.5,medium
OCC000241,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-22 00:00:00,19,40,0.47,medium
OCC000242,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-22 01:00:00,19,40,0.47,medium
OCC000243,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-22 02:00:00,20,40,0.51,medium
OCC000244,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-22 03:00:00,18,40,0.46,medium
OCC000245,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-22 04:00:00,21,40,0.52,medium
OCC000246,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-22 05:00:00,25,40,0.62,medium
OCC000247,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-22 06:00:00,31,40,0.78,high
OCC000248,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-22 07:00:00,28,40,0.7,medium
OCC000249,FAC0004,Check-in Counter 4,checkin_counter,T1,2026-06-22 08:00:00,36,40,0.89,high
